filename,precision,recall,f1_score,accuracy,length_error,num_gt,num_pred
0_0_1024_1024_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.4025974025974026,0.18181818181818182,54,54
0_0_1024_1024_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.5983935742971888,0.5983935742971888,0.5983935742971888,0.4269340974212034,0.25,249,249
0_0_1024_1024_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.06414334181509754,9,9
0_0_1024_1024_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.6493506493506493,0.6493506493506493,0.6493506493506493,0.4807692307692308,0.14039408866995073,154,154
0_341_1024_1365_003_XG_long fibril_ua__10kx_56.6px_100nm.png_2011.png,0.6,0.6,0.6,0.42857142857142855,0.0778590774069544,10,10
0_0_1024_1024_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5483870967741935,0.12727272727272726,24,24
0_341_1024_1365_012_XG_short fibril_ua__10kx_56.6px_100nm.png_2005.png,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.4782608695652174,0.16666666666666666,170,170
0_341_1024_1365_109_medium fibril_ua__10kx_56.6px_100nm.png_2010.png,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6551724137931034,0.058823529411764705,24,24
0_341_1024_1365_015_XG_short fibril_ua__10kx_56.6px_100nm.png_2002.png,0.5604026845637584,0.5604026845637584,0.5604026845637584,0.38927738927738925,0.21428571428571427,298,298
0_341_1024_1365_006_XG_medium fibril_ua__10kx_56.6px_100nm.png_2001.png,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.41333333333333333,0.1724137931034483,53,53
